userName,score,at,content
Ferniko Fadly,1,2025-03-09 16:25:08,Aplikasinya sih sudah bagus lengkap.. tpi sayang dari dulu penyakitnya cuma LEMOT muter² mulu padahal sinyal oke ram gede.. tolong min perbaiki bugnya masa setiap update ngebug terus.
Diana Wahyu,5,2025-03-09 16:11:27,"menurut sy aplikasih shoppe ini sangat membantu kita yg mungkin malas keluar rumah atau utk mencari yg lebih murah , akan tetapi aplikasi transfer yg kurang lengkap mungkin sy ingin memberikan saran , bisa ditambahkan aplikasi dana , ovo, gopay dsb berupa aplikasi transfer digital selain banking karena terkadang ada yg ingin transfer tetapi blm memiliki m-banking"
Boby Bob,1,2025-03-09 13:40:56,Hy Shopee kenapa harga barang yang di tampilkan ngga seseuai saat di cek out belum lagi termasuk ongkirnya saya merasa tertipu kadang udah senang liat harganya murah pas di cek out kecewa tolong yang benar kalau naroh harga jadi ngga bolak-balik buka aplikasi
Sany Akila,1,2025-03-09 13:27:21,Harus dibenerin min karena gambar sering tidak muncul perti tidak ada sinyal.padahal saya selalu mengunakan wifi. Sudah saya uininstal dan saya download lagi sebentar bisa buka beberapa hari kemudian kumat lagi penyakitnya tidak bisa buka gambar lagi
Dixley Besson,1,2025-03-09 12:54:29,"Tolong banget ya pihak Shopee, berikan informasi kurir seperti nomor handphone kurir agak buyer bisa menghubungi pihak kurir. Ini udah ke 3x nya paket saya salah alamat dengan kurir yang sama! Sangat mengecewakan! Sebelum ada update nomor handphone kurir maka rating dari saya akan tetap bintang 1!"
Eka Angriani,1,2025-03-09 12:36:57,"Di tombol ""pesanan Diterima"" bisa g sih di bikin double check, spy klw g sengaja ke pencet/tersetuh pesann kita masih aman. Klw salah pencet trus blm di terima yaa matilah kita sbg pembeli, kyk kasus ku skrg ini. Mw swipe keatas tp ke pencet pesann di terima, bisa g sih di klik 2x baru bisa di terima pesannya seperti klw mw keluar dr shopee ada pmberitahuanya klik 2x untuk keluar"
EL baran,1,2025-03-09 12:04:44,"Aplikasi semakin hari semakin gak jelas. Selaku penjual saya sangat kecewa dengan keputusan sepihak oleh pihak shopee. Akun dibatasi tanpa alasan yang jelas, tanpa pinalti. Penjual selalu dirugikan oleh keputusan/peraturan aplikasi yang semakin tidak jelas. 4 kali akun dibatasi/diblokir permanen. Dan akhirnya saya beralih ke aplikasi lain saja. Shopee saya KECEWA."
•NJS Sport•,1,2025-03-09 09:59:01,"Teruntuk Shopee! Tolong tindak tegas semua oknum toko nakal, dengan mengatas namakan toko keterangan barang tidak sesuai dengan apa yg dijual stelah sampai berbeda. Kita emng harus smart buyer! tapi, Kasihan jika ada orang awam yg belanja di Shopee jika mendapatkan toko seperti itu. Heran toko oknum begitu bisa lolos dishopee, jgn iklan saja dibesarkan! Tapi keamanan / kepercayaan customer belanja dishopee jadi waswas."
Yudi Muhammad arya,5,2025-03-09 09:25:08,"Makasih. Sangat baik. Dahlah gitu doang . Gak ada keluhan aplikasi. Gk kayak dulu, aku mau download ini aplikasi gak bisa dan gak bisa beli Alhamdulillah sekarang bisa. Buruan beli barang barang di sini untuk idul Fitri . Harga sesuai barang eeee mangsud ya barang sesuai harga . Yahh walau baru beli barang satu kali sih yaitu wadah biju ee mangsud ya wadah buah buat idul Fitri hehe"
Dzakira Aftani,3,2025-03-09 08:06:50,Jelek banget loading padahal bateri 100% wi-fi full knp ya?? Saya kasih bintang tiga dulu!😑 soalnya ga tau kenapa gitu padahal semuanya full udah di hidupin tolong ya di benarkan aku sampe kesell banget!! Nah terus pas nyari tuh ga tau knp pas masuk ke tokonya loading?! Tolong di perbaiki ya😑👍 tapi oke lah ga terlalu loading🤞🤟
